Category,Commodity,Unit,Series,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Agricultural,Coffee,Kilograms,"Coffee, Robusta, $/kg, real 2010$",KCOFFEE_ROBUS,3.63555968,3.430336092,3.431727148,3.194988244,3.977444988,3.394897608,3.568088099,3.536911916,3.602675609,3.343675067,3.935259747,3.815649431,3.740067516,3.560960118,3.43664027,3.219524136,6.648548858,10.78400704,6.116217016,6.158559923,4.972401285,3.430714318,3.82557079,4.429170683,5.034739184,4.437492752,4.726476473,2.988614919,2.59530834,2.079054967,1.429407663,1.308627957,1.127024871,1.34075534,3.128730476,3.014259378,2.002849362,2.020521351,2.218039075,1.847292087,1.14759838,0.792895998,0.874416985,1.023006305,0.932700428,1.270757071,1.656150723,2.000616431,2.256953794,1.704463584,1.73593616,2.169420963,2.057172867,1.891919697,2.051791837,1.988413353,2.083226804
Metal,Copper,Metric Ton,"Copper, $/mt, real 2010$",KCOPPER,3545.761145,3244.062298,3245.299218,3309.993923,4900.644952,6471.134832,7393.183181,5430.239125,5995.365587,6723.449717,6098.315665,4429.376294,3971.346069,5780.36542,5468.924775,2953.746368,3310.216299,2861.13773,2567.51644,3347.899152,3345.516665,2667.658399,2336.778989,2581.197829,2283.478744,2374.669302,2001.118746,2369.397914,3247.496296,3576.915524,3219.313698,2855.233495,2733.786571,2216.194195,2755.786305,3193.651713,2545.072356,2649.802377,2012.948297,1951.648771,2279.383672,2061.050772,2060.543905,2234.602113,3370.595366,4194.635171,7475.171698,7459.129515,6764.189183,5338.612943,7534.779583,7954.859009,7225.920899,6682.426702,6353.570082,5644.680692,5192.150585
Agricultural,Copra,Metric Ton,"Copra, $/mt, real 2010$",KCOPRA,1053.489039,843.3611431,825.4097951,941.2849797,982.3786385,1134.282743,893.0877875,971.844787,1120.521331,925.2949078,968.5460929,772.480222,528.918301,1143.284366,1758.586317,605.221973,650.2667749,879.5652951,884.9450667,1134.371343,694.1106073,580.2170418,495.891248,804.2301762,1177.260275,646.7003872,287.6883292,410.960721,496.3812473,436.8993671,279.0130537,349.6633228,455.8992419,342.2239752,498.4279978,477.0450651,542.2248416,504.8175545,500.2783027,572.6418311,383.0460351,263.8960204,351.797198,376.7208597,529.2494148,471.7080241,447.6126357,636.1793807,793.2019705,497.280756,749.5916667,1042.82911,672.0878334,571.4435522,790.7945362,753.1592625,1047.433732
Agricultural,Cotton,Kilograms,"Cotton, A Index, $/kg, real 2010$",KCOTTON_A_INDX,3.419268454,3.444415014,3.266334481,3.308153474,3.286583478,3.193036558,3.006486712,3.237422281,3.304415964,2.872917622,2.913180226,3.207910161,3.105178911,4.502195158,3.875515395,2.925339211,4.129666656,3.560253683,3.022451884,2.879240208,3.161153018,2.865377582,2.521179504,3.005958915,2.959135785,2.208638192,1.538622734,2.191184964,1.74677934,2.102422542,2.200423142,2.04781439,1.531941295,1.483118583,2.105310896,2.314946851,1.966685636,2.033915262,1.758184639,1.453101912,1.636696947,1.381716033,1.3467061,1.757280942,1.6062381,1.387579305,1.408438054,1.461973381,1.530532389,1.432708854,2.283380479,2.999233697,1.785180649,1.816129917,1.695883514,1.590233852,1.745104893
Fossil Fuel,Crude oil,Barrel,"Crude oil, avg, spot, $/bbl, real 2010$",KCRUDE_PETRO,8.514978123,8.045024778,7.646137774,7.686329405,7.327569739,7.107594015,6.565224675,6.364463393,6.372129832,5.819224679,5.212235611,6.922073764,6.833715314,9.089702394,29.15785585,24.956436,27.48371654,27.46910849,24.29875737,52.21804152,56.52604756,54.34246527,51.53147498,48.08806431,47.34600675,45.54267407,20.90292417,24.12040351,18.37158451,22.4013392,27.67450646,23.64830939,22.7949621,19.51014539,18.97370477,18.69378419,22.64645904,22.31211275,15.89910408,22.42347394,35.48246795,31.8004934,32.93713439,36.29696071,44.37860746,60.87616006,71.49005651,74.52244763,94.31758367,64.02194964,79.04077178,93.72026737,95.29743755,94.85552612,89.08646437,51.98901691,45.66337318
Fossil Fuel,Crude oil,Barrel,"Crude oil, Brendt, $/bbl, real 2010$",KCRUDE_BRENT,,,,,,,,,,,,,,,,,,,,54.15386492,58.09435301,56.16613228,52.74862219,48.36596023,47.75081505,45.78700172,21.51593095,24.38071555,18.68711045,22.87573692,28.64722177,24.49779696,23.14450149,19.71770013,18.90602685,18.5659557,22.90153669,22.21803409,15.47571834,22.09706741,35.5367624,31.8915738,32.99227152,36.23728498,45.04580513,62.06550372,72.71675421,76.17770934,94.94581074,64.13109579,79.63562998,99.96519271,101.610023,99.21096229,91.58821706,53.64563152,46.98152599
Fossil Fuel,Crude oil,Barrel,"Crude oil, Dubai, $/bbl, real 2010$",KCRUDE_DUBAI,8.514978123,8.045024778,7.646137774,7.686329405,7.327569739,7.107594015,6.565224675,6.364463393,6.372129832,5.819224679,5.212235611,6.922073764,6.833715314,9.089702394,29.15785585,24.956436,27.48371654,27.46910849,24.29875737,50.28221813,54.95774212,52.51879826,50.12579249,46.58238462,45.58170521,44.32801661,19.22170756,22.51422279,16.49749912,19.72064329,24.75132057,20.21983864,20.59785731,17.30909979,17.5166389,17.53154213,20.56147652,21.06219101,14.75897054,21.2988018,32.78562021,29.66276663,31.34212429,33.58304775,39.34777232,56.20493577,68.31250807,71.64336,91.19281629,64.01987374,78.06115482,95.54453043,98.83203209,96.09124303,89.4752659,52.4257918,43.94435259
Fossil Fuel,Crude oil,Barrel,"Crude oil, WTI, $/bbl, real 2010$",KCRUDE_WTI,,,,,,,,,,,,,,,,,,,,,,,51.72001027,49.31584809,48.70550001,46.51300389,21.971134,25.46627217,19.93014396,24.60763741,29.62497705,26.22729259,24.64252748,21.50363624,20.49844857,19.98385475,24.47636391,23.65611315,17.46262336,23.87455262,38.12502123,33.84713976,34.47700738,39.07054941,48.74224494,64.3580407,73.44090724,75.74627357,96.81412397,63.91487939,79.42553055,85.65107898,85.45025758,89.26437304,86.19591016,49.8956274,46.06424096
Agricultural,DAP,Metric Ton,"DAP, $/mt, real 2010$",KDAP,5.20E-10,5.10E-10,5.00E-10,5.10E-10,5.10E-10,5.00E-10,4.80E-10,327.7937913,292.0559506,265.7598672,232.6121678,252.921926,341.6857657,384.4709383,883.6911907,580.1040651,283.3839761,293.127705,263.0536443,326.0333891,340.6830674,298.6270489,288.5245232,297.4651769,313.4847511,283.0710352,224.627533,230.9023243,245.2780765,216.9846318,207.3204076,211.0747684,173.9597657,149.5620136,206.3619305,235.6033286,236.4006041,232.6777334,247.5591635,220.5901537,193.8315586,192.9259467,208.1318108,225.3106101,260.2077616,281.6613317,289.4110724,453.2611626,940.543805,334.8995414,500.6791667,557.6565421,489.8463054,405.4845421,437.3959331,470.0523041,368.3361592
Agricultural,Fishmeal,Metric Ton,"Fishmeal, $/mt, real 2010$",KFISH_MEAL,,,,,,,,,,,,,,,,,,,,665.9091441,773.3690888,715.9136833,557.0555531,733.8330119,618.6799099,469.248705,466.9776381,509.6577567,679.5596581,512.872766,498.5543943,583.3487032,577.03961,422.5428321,449.46103,538.511533,649.8934866,705.5807319,805.5362981,487.0247426,519.1075062,635.5269109,800.6001335,767.0483629,762.8052213,833.4347736,1296.990104,1233.630433,1101.857739,1275.371257,1687.5,1385.327715,1414.205298,1592.355863,1581.916931,1595.693766,1601.315676
